start,idle,oracle,never_charge,oracle_sav,nochg_sav
13074,81769.71621,71779.24763047711,79940.62829340735,0.12217810018889495,0.02236876928733865
13076,81776.65119,71781.56817420467,79872.71173136635,0.12222416631579519,0.023282189120339993
13082,81799.84796000001,72012.36833080422,80269.52449777839,0.11965156260414873,0.018708145557555945
13085,81837.50841000001,72435.94544881044,81044.50878378033,0.11488085529300843,0.009689928757933454
13093,82007.44988,70995.91953018736,79287.61945626485,0.13427475632915808,0.03316565053193378
13104,81687.04117999999,71369.85844086866,80162.8563181769,0.12630133972409513,0.018658833026703677
13108,81118.93568,69857.2606579487,78308.09258739043,0.1388291762909295,0.034650887231778345
13127,81203.10747,71132.39850841816,80267.83553329372,0.12401876326349213,0.011517686525134675
13141,81206.36048999999,70311.79145495014,78351.3770869089,0.13415906056264448,0.035157140227244366
13142,81122.30049,70981.78641095108,79678.74640885244,0.12500279229999078,0.017794787283251404
13149,80784.42121,70282.77397583006,78460.57591103003,0.1299959457142212,0.02876600790304743
16482,76155.50116,67114.89531199928,75124.17534612221,0.11871244638002879,0.013542367894224874
16488,76818.01183,67424.09461733898,75575.14767475871,0.1222879502980365,0.01617933249810962
16497,76947.17225,67343.22762270708,75210.04218401658,0.12481218407987592,0.02257561928773053
16506,77015.84564,67707.26215330858,75379.05409947404,0.12086582195309675,0.021252659461494624
16507,77060.30064,67890.13637899756,75708.74362423115,0.11899985056952203,0.017538953320242964
16508,77090.70786,67419.62307711123,74706.92554250629,0.12545071969571048,0.030921785305471024
18340,86771.20352000001,75686.97255595711,84117.29841165165,0.12774089230522293,0.03058509045269451
18343,86725.77051,75928.71899991065,84663.64370889706,0.1244964610472315,0.0237775552638667
18344,86702.565,76126.97490914422,85096.7941881226,0.12197551584380209,0.01852045336694944
18353,86554.52984999999,75660.90757098797,84293.40383298627,0.12585848826041568,0.026123716701278173
18359,86460.7298,75490.78293741525,84042.3250074817,0.12687779628925536,0.027971135544570626
18365,86453.617,75970.15505169267,85037.69067559001,0.12126111448069701,0.016377872592768277
