start,policy,cost,energy,demand,chg_steps,dis_steps,chg_steps_paid,dis_steps_paid,n_windows_paid,reward_med,reward_std,reward_min,mean_r_chg,mean_r_dis,max_demand_zar,paid_on_pairclose_frac
5599,b0,76652.96855411648,76652.96855411648,0.0,,,,,,,,,,,,
5599,random,105388.27971502657,105388.27971502657,0.0,312.0,323.0,0.0,0.0,0.0,-1.4292122560816334,0.8020954124981055,-4.983844098713074,-1.8396843809383152,-1.523883589247816,0.0,0.0
5609,naive_chg,84298.9595701175,84298.9595701175,0.0,,,,,,,,,,,,
5609,b0,76659.35336236008,76659.35336236008,0.0,,,,,,,,,,,,
5609,random,103912.32861329183,103912.32861329183,0.0,335.0,309.0,0.0,0.0,0.0,-1.4507833155321046,0.8102080844399636,-4.895691975060676,-1.7928667067243182,-1.4857920893316103,0.0,0.0
5614,naive_chg,84050.76146363841,84050.76146363841,0.0,,,,,,,,,,,,
5614,b0,76313.61190572742,76313.61190572742,0.0,,,,,,,,,,,,
5614,random,104825.22947938537,104825.22947938537,0.0,326.0,320.0,0.0,0.0,0.0,-1.4387936431895207,0.7860931551292536,-4.9973817766450495,-1.793161456076572,-1.4736998490640378,0.0,0.0
5619,naive_chg,84375.7158694522,84375.7158694522,0.0,,,,,,,,,,,,
5619,b0,76642.62260516062,76642.62260516062,0.0,,,,,,,,,,,,
5619,random,104516.13080761793,104516.13080761793,0.0,317.0,326.0,0.0,0.0,0.0,-1.4220617878421855,0.8081520582468701,-5.090704482972937,-1.8072976145749147,-1.4596560440773692,0.0,0.0
5626,naive_chg,84652.2716423974,84652.2716423974,0.0,,,,,,,,,,,,
5626,b0,77002.06126180166,77002.06126180166,0.0,,,,,,,,,,,,
5626,random,103662.81221405126,103662.81221405126,0.0,316.0,311.0,0.0,0.0,0.0,-1.4054947813222447,0.8245326778777656,-5.779160812024788,-1.8317663316143178,-1.4787492401606832,0.0,0.0
5629,naive_chg,83995.91609938367,83995.91609938367,0.0,,,,,,,,,,,,
5629,b0,76366.61702973965,76366.61702973965,0.0,,,,,,,,,,,,
5629,random,101252.29267807845,101252.29267807845,0.0,302.0,341.0,0.0,0.0,0.0,-1.4143835183276119,0.8107717068099982,-5.305692823368013,-1.7960030772739224,-1.4142853615945414,0.0,0.0
5633,naive_chg,83887.52019404121,83887.52019404121,0.0,,,,,,,,,,,,
5633,b0,76301.9172500433,76301.9172500433,0.0,,,,,,,,,,,,
5633,random,103510.35319625685,103510.35319625685,0.0,317.0,319.0,0.0,0.0,0.0,-1.4257563007631315,0.821944495635496,-5.272360145569153,-1.8285212369659218,-1.458628627447433,0.0,0.0
5637,naive_chg,83954.15397623299,83954.15397623299,0.0,,,,,,,,,,,,
5637,b0,76387.62503125734,76387.62503125734,0.0,,,,,,,,,,,,
5637,random,103845.24873814174,103845.24873814174,0.0,320.0,313.0,0.0,0.0,0.0,-1.423329676189271,0.8318718775693974,-5.570754148945236,-1.8605392138861057,-1.4348608883375986,0.0,0.0
5639,naive_chg,84123.3125589042,84123.3125589042,0.0,,,,,,,,,,,,
5639,b0,76493.49776662987,76493.49776662987,0.0,,,,,,,,,,,,
5639,random,101599.34060075924,101599.34060075924,0.0,315.0,320.0,0.0,0.0,0.0,-1.412755386430204,0.7937834282703526,-5.650172386362797,-1.7659716545923076,-1.4128780396457103,0.0,0.0
5641,naive_chg,83756.690955959,83756.690955959,0.0,,,,,,,,,,,,
5641,b0,76126.45324031601,76126.45324031601,0.0,,,,,,,,,,,,
5641,random,102243.80687079337,102243.80687079337,0.0,317.0,316.0,0.0,0.0,0.0,-1.4206629057795563,0.7858751190149513,-5.864148747137558,-1.7525755608850302,-1.4834053626405297,0.0,0.0
5669,naive_chg,81614.114635,81614.114635,0.0,,,,,,,,,,,,
5669,b0,73936.6815981899,73936.6815981899,0.0,,,,,,,,,,,,
5669,random,100591.20018587398,100591.20018587398,0.0,344.0,295.0,0.0,0.0,0.0,-1.4139624086222793,0.8436343242502384,-5.672946163909587,-1.7455574742158204,-1.4475710636274264,0.0,0.0
5681,naive_chg,80490.01210760274,80490.01210760274,0.0,,,,,,,,,,,,
5681,b0,72857.73788280618,72857.73788280618,0.0,,,,,,,,,,,,
5681,random,98551.03252182406,98551.03252182406,0.0,314.0,316.0,0.0,0.0,0.0,-1.380872138302189,0.8241773886785628,-4.836782096516965,-1.7061313561541325,-1.4327352071083637,0.0,0.0
5701,naive_chg,79222.08619438348,79222.08619438348,0.0,,,,,,,,,,,,
5701,b0,71317.42576580921,71317.42576580921,0.0,,,,,,,,,,,,
5701,random,100035.01565746787,100035.01565746787,0.0,333.0,316.0,0.0,0.0,0.0,-1.3875372476927426,0.8543419370898582,-5.668508307923369,-1.7723163043200136,-1.3748468769405375,0.0,0.0
5705,naive_chg,78933.33893680814,78933.33893680814,0.0,,,,,,,,,,,,
5705,b0,70488.14729045639,70488.14729045639,0.0,,,,,,,,,,,,
5705,random,97573.02203848535,97573.02203848535,0.0,308.0,335.0,0.0,0.0,0.0,-1.3566514142843462,0.8021296607944667,-5.336819800460208,-1.6641333567346255,-1.4063307533262301,0.0,0.0
5710,naive_chg,79054.57445301666,79054.57445301666,0.0,,,,,,,,,,,,
5710,b0,70621.27480159934,70621.27480159934,0.0,,,,,,,,,,,,
5710,random,100357.45672632153,100357.45672632153,0.0,327.0,313.0,0.0,0.0,0.0,-1.3946462119295582,0.8444921006928109,-5.737601925542869,-1.7717109369870476,-1.3812779107046806,0.0,0.0
13061,naive_chg,82014.82269204523,82014.82269204523,0.0,,,,,,,,,,,,
13061,b0,74530.85737598904,74530.85737598904,0.0,,,,,,,,,,,,
13061,random,98935.42418574395,98935.42418574395,0.0,314.0,329.0,0.0,0.0,0.0,-1.4874488690247922,0.7398187663577916,-5.3810991232514676,-1.7124343246972455,-1.3897385878953354,0.0,0.0
13070,naive_chg,82858.59697999986,82858.59697999986,0.0,,,,,,,,,,,,
13070,b0,76099.17655946684,76099.17655946684,0.0,,,,,,,,,,,,
