arm,fault,severity,cost,energy,demand,clipped,clip_dis,clip_chg,clip_floor,clip_ceil,clip_full,sat,act_dev
S1,F4,2,92366.79824743219,92366.79824743219,0.0,0.5132440476190476,0.5132440476190476,0.0,0.5132440476190476,0.0,0.0,0.004538690476190476,0.0034925187183987524
S1,F4,3,92369.11515579678,92369.11515579678,0.0,0.5124255952380953,0.5124255952380953,0.0,0.5124255952380953,0.0,0.0,0.004613095238095238,0.0068971088377847555
S1,F5,1,92367.91383813476,92367.91383813476,0.0,0.5138392857142857,0.5138392857142857,0.0,0.5138392857142857,0.0,0.0,0.004538690476190476,0.0015492238725225132
S1,F5,2,92374.9279698919,92374.9279698919,0.0,0.5142857142857143,0.5142857142857143,0.0,0.5142857142857143,0.0,0.0,0.004613095238095237,0.0038793716313583514
S1,F5,3,92382.92232026007,92382.92232026007,0.0,0.5149553571428571,0.5149553571428571,0.0,0.5149553571428571,0.0,0.0,0.0046875,0.007320107187011413
S1,F6a,1,92966.62810608064,92966.62810608064,0.0,0.5122023809523809,0.5122023809523809,0.0,0.5122023809523809,0.0,0.0,0.005208333333333333,0.10801308566615694
S1,F6a,2,94273.03999410992,94273.03999410992,0.0,0.5066964285714286,0.5066964285714286,0.0,0.5066964285714286,0.0,0.0,0.004613095238095237,0.22270739794753136
S1,F6a,3,96777.3021252381,96777.3021252381,0.0,0.5113095238095238,0.5113095238095238,0.0,0.5113095238095238,0.0,0.0,0.005133928571428571,0.3839488378858992
S1,F6b,1,92551.35367850313,92551.35367850313,0.0,0.5180803571428572,0.5180803571428572,0.0,0.5180803571428572,0.0,0.0,0.004315476190476191,0.04397549633202809
S1,F6b,2,92612.18890193058,92612.18890193058,0.0,0.5072172619047619,0.5072172619047619,0.0,0.5072172619047619,0.0,0.0,0.004464285714285714,0.12300532896603858
S1,F6b,3,93623.42720542577,93623.42720542577,0.0,0.4665922619047619,0.4665922619047619,0.0,0.4665922619047619,0.0,0.0,0.006398809523809524,0.27063735446316145
S1,none,0,92364.96646581002,92364.96646581002,0.0,0.5144345238095238,0.5144345238095238,0.0,0.5144345238095238,0.0,0.0,0.004464285714285714,0.0
S2,F1,1,87350.7278539806,87350.7278539806,0.0,0.4447916666666667,0.4447916666666667,0.0,0.4447916666666667,0.0,0.0003720238095238095,0.0026041666666666665,0.008918729579697053
S2,F1,2,88688.65867064692,88688.65867064692,0.0,0.46063988095238095,0.46063988095238095,0.0,0.46063988095238095,0.0,0.0003720238095238095,0.002529761904761905,0.13516397395925153
S2,F1,3,89739.79053113096,89739.79053113096,0.0,0.4186011904761905,0.4186011904761905,0.0,0.4186011904761905,0.0,0.0,0.0008928571428571428,0.27771561848265786
S2,F2,1,87411.78502119683,87411.78502119683,0.0,0.4576636904761905,0.4576636904761905,0.0,0.4576636904761905,0.0,0.0003720238095238095,0.0026041666666666665,0.0
S2,F2,2,87411.78502119683,87411.78502119683,0.0,0.4576636904761905,0.4576636904761905,0.0,0.4576636904761905,0.0,0.0003720238095238095,0.0026041666666666665,0.0
S2,F2,3,87841.55703348518,87841.55703348518,0.0,0.4641369047619047,0.4641369047619047,0.0,0.4641369047619047,0.0,0.0002976190476190476,0.0020089285714285712,0.07346681215844694
S2,F3,1,87411.78502119683,87411.78502119683,0.0,0.4576636904761905,0.4576636904761905,0.0,0.4576636904761905,0.0,0.0003720238095238095,0.0026041666666666665,0.0
S2,F3,2,87411.78502119683,87411.78502119683,0.0,0.4576636904761905,0.4576636904761905,0.0,0.4576636904761905,0.0,0.0003720238095238095,0.0026041666666666665,0.00011313909753447487
S2,F3,3,87410.46944915339,87410.46944915339,0.0,0.45736607142857144,0.45736607142857144,0.0,0.45736607142857144,0.0,0.0003720238095238095,0.0026041666666666665,0.0005359055607446603
S2,F4,1,87413.80558251406,87413.80558251406,0.0,0.4576636904761905,0.4576636904761905,0.0,0.4576636904761905,0.0,0.0003720238095238095,0.0026041666666666665,0.0008876084261352108
S2,F4,2,87423.80597581917,87423.80597581917,0.0,0.45892857142857146,0.45892857142857146,0.0,0.45892857142857146,0.0,0.0003720238095238095,0.0026041666666666665,0.0037856901685396826
S2,F4,3,87409.89434257471,87409.89434257471,0.0,0.45944940476190477,0.45944940476190477,0.0,0.45944940476190477,0.0,0.0003720238095238095,0.0026041666666666665,0.012058403369571482
S2,F5,1,87411.63704176244,87411.63704176244,0.0,0.45721726190476186,0.45721726190476186,0.0,0.45721726190476186,0.0,0.0003720238095238095,0.0026041666666666665,0.0025123003338064468
S2,F5,2,87410.51313880968,87410.51313880968,0.0,0.45647321428571425,0.45647321428571425,0.0,0.45647321428571425,0.0,0.0003720238095238095,0.0027529761904761902,0.0064640763437464124
S2,F5,3,87407.23341892166,87407.23341892166,0.0,0.45565476190476195,0.45565476190476195,0.0,0.45565476190476195,0.0,0.0003720238095238095,0.002901785714285714,0.013021984789520501
S2,F6a,1,88667.94343483499,88667.94343483499,0.0,0.4577380952380953,0.4577380952380953,0.0,0.4577380952380953,0.0,0.0003720238095238095,0.0027529761904761902,0.1135051105304488
S2,F6a,2,92427.39272891845,92427.39272891845,0.0,0.4596726190476191,0.4596726190476191,0.0,0.4596726190476191,0.0,0.0004464285714285714,0.002529761904761905,0.2393002506389859
S2,F6a,3,97643.0764856732,97643.0764856732,0.0,0.46845238095238095,0.46845238095238095,0.0,0.46845238095238095,0.0,7.44047619047619e-05,0.0010416666666666667,0.37390459744880594
S2,F6b,1,87688.75067327652,87688.75067327652,0.0,0.4653273809523809,0.4653273809523809,0.0,0.4653273809523809,0.0,0.0003720238095238095,0.002529761904761905,0.030907514522827806
S2,F6b,2,88081.67373484107,88081.67373484107,0.0,0.47053571428571433,0.47053571428571433,0.0,0.47053571428571433,0.0,0.0003720238095238095,0.002232142857142857,0.08358611350524284
S2,F6b,3,90204.98256249382,90204.98256249382,0.0,0.4970238095238096,0.4970238095238096,0.0,0.4970238095238096,0.0,0.0,0.0012648809523809524,0.19831459377227084
S2,none,0,87411.78502119683,87411.78502119683,0.0,0.4576636904761905,0.4576636904761905,0.0,0.4576636904761905,0.0,0.0003720238095238095,0.0026041666666666665,0.0
